system:index,am_cloud,am_convective,am_precip,am_ssrd,date,pm_cloud,pm_convective,pm_precip,pm_ssrd,.geo
2870,0.5600569689025482,1.1316222177507977E-4,1.620002828227977E-4,5610833.4296875,2011-11-10,0.4962394119550784,7.438055860499541E-4,8.254496691127619E-4,1.0600345760416666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2871,0.4760914845392108,6.378796242643148E-4,7.4416259303689E-4,6004471.725260417,2011-11-11,0.5112351925733188,0.0023302785557461902,0.0025175899111976228,1.102351246875E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2872,0.7326169734199842,5.963739919631431E-4,6.488763610832393E-4,6008556.138020833,2011-11-12,0.48662029175708693,0.0019127215491607785,0.0020747779247661433,1.0601247661458334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2873,0.7360756397247314,2.8168875724077225E-4,3.9714755257591605E-4,5428272.095052083,2011-11-13,0.5875192806124687,0.0014717489490673568,0.0015571872936561704,1.0013277447916666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2874,0.6523287060360113,5.881795271610221E-4,7.301050742777685E-4,5330757.013020833,2011-11-14,0.8906112511952718,0.0033041395363397896,0.0035323321159618595,8811446.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2875,0.5620589051395655,1.9620324989470342E-4,3.5072977577025693E-4,5760474.341145833,2011-11-15,0.4406806494419773,3.05551696025456E-4,3.6948513782893616E-4,1.0944155981770834E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2876,0.5008154287934303,1.9077638474603495E-4,2.4038291303440928E-4,6123167.829427083,2011-11-16,0.5647968656073014,0.002546005242038518,0.0027002799130665758,9403947.677083334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2877,0.7851594462990761,8.912725024856627E-5,1.0463424647847812E-4,6238108.944010417,2011-11-17,0.8113118223845959,1.5608082564237216E-4,1.741623079093794E-4,1.1367670947916666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2878,0.6304335709040364,5.99559765153875E-5,8.343711184958617E-5,6062120.546875,2011-11-18,0.5343308293571075,0.0014591895257278036,0.001511145441327244,1.1100548940104166E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2879,0.5058462121523917,1.3923591662508747E-4,1.6794772818684578E-4,5557261.359375,2011-11-19,0.3720526937395334,5.067917130266627E-4,5.422920415488383E-4,1.0724274919270834E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2880,0.3568042566378911,2.1363071088368693E-4,3.3401785185560584E-4,5691536.540364583,2011-11-20,0.27520661024997634,1.4382937418607375E-4,1.7032496786365905E-4,1.0492602208333334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2881,0.25508816571285325,3.3516614348627627E-4,4.1186479696383077E-4,5827245.819010417,2011-11-21,0.3976504015736282,0.002059264685764598,0.002173520488819728,1.113888825E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2882,0.7338650015493234,4.975091821203629E-4,5.652060305389265E-4,5367680.790364583,2011-11-22,0.5589602769662937,0.00261480372864753,0.002697055412378783,1.0153061138020834E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2883,0.5137265454977751,1.3812299584969878E-4,2.0055573744078478E-4,5448085.649739583,2011-11-23,0.2772109261713922,1.8282573243292669E-4,2.4271057918667793E-4,1.0986655916666666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2884,0.6559401216606299,7.68623809562996E-4,9.275554524113735E-4,5078595.291666667,2011-11-24,0.6184272908916076,6.896976265124977E-4,7.973377457043777E-4,1.0610382880208334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2885,0.8138287651042143,4.240681203858306E-4,4.8483572512244183E-4,5565917.953125,2011-11-25,0.8328377933551868,0.0021944799518678337,0.002338301264292871,9644686.286458334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2886,0.6112308595329523,2.2284161726323268E-4,3.4822389716282487E-4,5248310.776041667,2011-11-26,0.5668937001998225,0.003116734907962382,0.0033447607032333813,9419588.0234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2887,0.439948672739168,1.4797515662697455E-4,2.1379056852310896E-4,5801430.822916667,2011-11-27,0.46673606522381306,0.0014859540193962555,0.0015889439188564818,1.0620987744791666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2888,0.7914016110201677,2.4428167186367017E-4,2.9842307170232135E-4,5806963.497395833,2011-11-28,0.8154966613898674,3.2977766628998023E-4,3.836709074676037E-4,1.0642774822916666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2889,0.9346211204926173,3.5358704432534677E-4,4.298265363710622E-4,4843463.197916667,2011-11-29,0.9212972037494183,0.0019429979389921452,0.002055586170172319,9461532.346354166,"{""type"":""MultiPoint"",""coordinates"":[]}"
2890,0.932274422297875,5.659060213171566E-4,6.292467975678543E-4,5073077.197916667,2011-11-30,0.8172859946886698,0.003022540059949582,0.003128310122216741,9286642.145833334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2891,0.820323821157217,8.4857859959205E-4,9.977319471848507E-4,4824496.375,2011-12-01,0.5747381908198198,0.0017906139012969409,0.0018831062188837677,9285856.6328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
2892,0.2908032356450955,2.1303019214731952E-4,2.838008804246783E-4,5798468.313802083,2011-12-02,0.24863721849396825,9.84752473110954E-4,0.0010445382892309378,1.0917867708333334E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2893,0.8598888963460922,6.58721449629714E-5,8.494876480350892E-5,5954063.591145833,2011-12-03,0.9601251284281412,6.492709508165717E-5,7.229709687332313E-5,1.10561393125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2894,0.6414259678373734,2.0666717318817973E-5,2.769460358346502E-5,6280600.825520833,2011-12-04,0.6086899923781554,2.7528022959207494E-5,3.280853464578589E-5,1.1753423947916666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2895,0.7594830549011627,1.6499694902449846E-4,2.1185564886157712E-4,5460399.393229167,2011-12-05,0.5675172734384736,5.360261760264015E-4,5.859964488384625E-4,1.0469435463541666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2896,0.6539763367424408,7.86551235554119E-4,8.732441735143462E-4,4641226.106770833,2011-12-06,0.42236234961698454,1.4282724199195704E-4,1.6925241410111388E-4,1.0232573109375E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2897,0.3427721991514166,3.1764906210203964E-4,3.514201380312443E-4,5753528.12890625,2011-12-07,0.5498223851124445,0.0017896466985500108,0.0019514898691947262,1.0081204947916666E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2898,0.5446427452067534,4.76489047287032E-4,5.779847463903328E-4,5076230.434895833,2011-12-08,0.6381435869261622,0.0030446733677914986,0.0031826445968666426,9639030.541666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
2899,0.6085448681066433,2.9694337960487854E-4,3.583918830069403E-4,5389058.967447917,2011-12-09,0.4884295718123515,0.0015892949838113661,0.0016712831954161327,1.033070509375E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
